Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,hcs1,hcs2,answer,hcs3
1,1733939280852,11/12/2024 17:48:00,1733939280675,-5,11/12/2024 12:48:00,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1733939299005,11/12/2024 17:48:19,1733939298875,-5,11/12/2024 12:48:18,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,17535.09999999986,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,hcs,,,,
3,1733939305169,11/12/2024 17:48:25,1733939305026,-5,11/12/2024 12:48:25,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,23686.699999999953,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,hcs,,,,
4,1733939317410,11/12/2024 17:48:37,1733939317291,-5,11/12/2024 12:48:37,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,advancementZone,continue_button,35951.80000000005,,,,,0,1,0,,,,,,hcs,,,,
5,1733939330254,11/12/2024 17:48:50,1733939330139,-5,11/12/2024 12:48:50,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,2,hcs_instr,advancementZone,continue_button,12843,,,,,0,1,0,,,,,,hcs,,,,
6,1733939330749,11/12/2024 17:48:50,1733939330625,-5,11/12/2024 12:48:50,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,1,1,hcs_briefing,Zone1,timelimit_screen,500,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
7,1733939330852,11/12/2024 17:48:50,1733939330631,-5,11/12/2024 12:48:50,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,1,2,hcs1,content,content_web_audio,0.5999999998603016,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
8,1733939332229,11/12/2024 17:48:52,1733939332123,-5,11/12/2024 12:48:52,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,1,2,hcs1,Zone1,timelimit_screen,1498.7999999999956,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
9,1733939332351,11/12/2024 17:48:52,1733939332129,-5,11/12/2024 12:48:52,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,1,3,hcs2,content,content_web_audio,0.6999999999534339,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
10,1733939333735,11/12/2024 17:48:53,1733939333622,-5,11/12/2024 12:48:53,170312,14,task-7tte,,41959208,BLIND,12254388,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,1,3,hcs2,Zone1,timelimit_screen,1499.800000000003,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
