Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Spreadsheet: vot,Spreadsheet: coda_vc,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
1,1734498091624,18/12/2024 05:01:31,1734480091624,-5,17/12/2024 19:01:31,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1734498101529,18/12/2024 05:01:41,1734480101529,-5,17/12/2024 19:01:41,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1734498101532,18/12/2024 05:01:41,1734480101532,-5,17/12/2024 19:01:41,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1734498131778,18/12/2024 05:02:11,1734480131778,-5,17/12/2024 19:02:11,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Instructions,Screen 1,9vmjmj,1,continue,,30259.100000023842,30253.6,30259.100000023842,30259.100000023842,30253.6,30259.100000023842,1,30259.100000023842,0,0,,Click To Continue,Continue Button,2,object-50,Instructions,,,,,,,,,,,,,,,,,
5,1734498131789,18/12/2024 05:02:11,1734480131789,-5,17/12/2024 19:02:11,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,6,0,6,6,0,6,0,6,0,0,,Audio Clip,Audio,3,object-92,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
6,1734498134039,18/12/2024 05:02:14,1734480134039,-5,17/12/2024 19:02:14,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,2266.4000000000015,2260.5999999999985,2266.4000000000015,2266.4000000000015,2260.5999999999985,2266.4000000000015,0,2266.4000000000015,0,0,,Audio Clip,Audio,3,object-92,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
7,1734498135778,18/12/2024 05:02:15,1734480135778,-5,17/12/2024 19:02:15,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,4005.7999999999956,4000,4005.7999999999956,4005.7999999999956,4000,4005.7999999999956,0,4005.7999999999956,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
8,1734498135885,18/12/2024 05:02:15,1734480135885,-5,17/12/2024 19:02:15,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,4112.4000000000015,4109.300000000003,4112.4000000000015,4112.4000000000015,4109.300000000003,4112.4000000000015,0,4112.4000000000015,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
9,1734498137677,18/12/2024 05:02:17,1734480137677,-5,17/12/2024 19:02:17,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,5904.4000000000015,5903.0999999999985,5904.4000000000015,5904.4000000000015,5903.0999999999985,5904.4000000000015,0,5904.4000000000015,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
10,1734498137783,18/12/2024 05:02:17,1734480137783,-5,17/12/2024 19:02:17,170312,15,task-xnib,,42090829,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,6011.000000023843,6006,6011.000000023843,6011.000000023843,6006,6011.000000023843,0,6011.000000023843,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
