"","Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
"1",14171928,"","START SUBSYSTEM base.component.audioSubsystem",NA,"","","","","","","","",NA
"2",14171928,"","SUBSYSTEM READY base.component.audioSubsystem",NA,"","","","","","","","",NA
"3",14171928,"","BEGIN",NA,"","","","","","","","",NA
"4",14171928,"Participant ID","",1,"","","","","","","","",NA
"5",14171928,"Participant ID","AB-H",1,"","","","","","","","",NA
"6",14171928,"Participant ID","9",1,"","","","","","","","",NA
"7",14171928,"Instructions","",1,"","","","","","","","",NA
"8",14171928,"Instructions","audio started",1,"","","","","","","","",NA
"9",14171928,"Instructions","audio finished",1,"","","","","","","","",NA
"10",14171928,"Instructions","",1,"","","","","","","","",NA
"11",14171928,"Practice","audio started",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"12",14171928,"Practice","audio finished",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"13",14171928,"Practice","beb",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"14",14171928,"Practice","",0,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"15",14171928,"Practice","audio started",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"16",14171928,"Practice","audio finished",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"17",14171928,"Practice","",1,"Todd has a cat named ___","beb_sent.mp3","beb_word.mp3","beb","meb","beb","b","e",NA
"18",14171928,"Practice","audio started",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
"19",14171928,"Practice","audio finished",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",NA
