Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,hcs1,hcs2,answer,hcs3
1,1731093396055,08/11/2024 19:16:36,1731093396383,-5,08/11/2024 14:16:36,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1731093404956,08/11/2024 19:16:44,1731093405275,-5,08/11/2024 14:16:45,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,8565.09999999404,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,hcs,,,,
3,1731093408754,08/11/2024 19:16:48,1731093409119,-5,08/11/2024 14:16:49,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,12408.90000000596,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,hcs,,,,
4,1731093413390,08/11/2024 19:16:53,1731093413741,-5,08/11/2024 14:16:53,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,advancementZone,continue_button,17030.30000001192,,,,,0,1,0,,,,,,hcs,,,,
5,1731093421491,08/11/2024 19:17:01,1731093421834,-5,08/11/2024 14:17:01,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,2,hcs_instr,advancementZone,continue_button,8086.5999999940395,,,,,0,1,0,,,,,,hcs,,,,
6,1731093421967,08/11/2024 19:17:01,1731093422333,-5,08/11/2024 14:17:02,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,1,hcs_briefing,Zone1,timelimit_screen,500.1000000000022,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
7,1731093422090,08/11/2024 19:17:02,1731093422337,-5,08/11/2024 14:17:02,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,2,hcs1,content,content_web_audio,0.4000000059604645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
8,1731093423465,08/11/2024 19:17:03,1731093423833,-5,08/11/2024 14:17:03,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,2,hcs1,Zone1,timelimit_screen,1500,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
9,1731093423604,08/11/2024 19:17:03,1731093423836,-5,08/11/2024 14:17:03,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,3,hcs2,content,content_web_audio,0.4000000059604645,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
10,1731093424973,08/11/2024 19:17:04,1731093425335,-5,08/11/2024 14:17:05,170312,13,task-7tte,,41205760,BLIND,12033181,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x776,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,1,3,hcs2,Zone1,timelimit_screen,1501.7999999999993,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
