Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Spreadsheet: vot,Spreadsheet: coda_vc,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
1,1734453992722,17/12/2024 16:46:32,1734435992722,-5,17/12/2024 06:46:32,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1734454005773,17/12/2024 16:46:45,1734436005773,-5,17/12/2024 06:46:45,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1734454005779,17/12/2024 16:46:45,1734436005779,-5,17/12/2024 06:46:45,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1734454017661,17/12/2024 16:46:57,1734436017661,-5,17/12/2024 06:46:57,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Instructions,Screen 1,9vmjmj,1,continue,,11893.400000011921,11883.199999999999,11893.400000011921,11893.400000011921,11883.199999999999,11893.400000011921,1,11893.400000011921,0,0,,Click To Continue,Continue Button,2,object-50,Instructions,,,,,,,,,,,,,,,,,
5,1734454017675,17/12/2024 16:46:57,1734436017675,-5,17/12/2024 06:46:57,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,17.599999999998545,0,17.599999999998545,17.599999999998545,0,17.599999999998545,0,17.599999999998545,0,0,,Audio Clip,Audio,3,object-92,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
6,1734454019818,17/12/2024 16:46:59,1734436019818,-5,17/12/2024 06:46:59,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,2166.800000000003,2150.100000000002,2166.800000000003,2166.800000000003,2150.100000000002,2166.800000000003,0,2166.800000000003,0,0,,Audio Clip,Audio,3,object-92,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
7,1734454021622,17/12/2024 16:47:01,1734436021622,-5,17/12/2024 06:47:01,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,3972.3000000357642,3966.7000000000007,3972.3000000357642,3972.3000000357642,3966.7000000000007,3972.3000000357642,0,3972.3000000357642,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
8,1734454021728,17/12/2024 16:47:01,1734436021728,-5,17/12/2024 06:47:01,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,4077.5000000238433,4066.7000000000007,4077.5000000238433,4077.5000000238433,4066.7000000000007,4077.5000000238433,0,4077.5000000238433,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
9,1734454024561,17/12/2024 16:47:04,1734436024561,-5,17/12/2024 06:47:04,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio started,6911.000000023843,6900.0999999999985,6911.000000023843,6911.000000023843,6900.0999999999985,6911.000000023843,0,6911.000000023843,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
10,1734454024666,17/12/2024 16:47:04,1734436024666,-5,17/12/2024 06:47:04,170312,15,task-xnib,,42081952,BLIND,12288528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x797,,,0,Coda prediction task (Single stim LONG),26,headphone_test_accept,12-11-24,12-11-24,1,Practice,Screen 1,u89cti,1,info,audio finished,7015.500000023843,7000.0999999999985,7015.500000023843,7015.500000023843,7000.0999999999985,7015.500000023843,0,7015.500000023843,0,0,,Audio Clip,Audio,4,object-108,Practice,Todd has a cat named ___,beb_sent.mp3,beb_word.mp3,beb,meb,beb,b,e,,,,,,,0,,
