Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1758129608213,17/09/2025 17:20:08,1758129608078,-4,17/09/2025 13:20:08,237477,8,questionnaire-nxtc,,49254999,k0ljzcx1,14098596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1758129617568,17/09/2025 17:20:17,1758129617483,-4,17/09/2025 13:20:17,237477,8,questionnaire-nxtc,,49254999,k0ljzcx1,14098596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,consent,1
3,1758129617689,17/09/2025 17:20:17,1758129617485,-4,17/09/2025 13:20:17,237477,8,questionnaire-nxtc,,49254999,k0ljzcx1,14098596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,END QUESTIONNAIRE,9407
1,1758049156105,16/09/2025 18:59:16,1758049156019,-4,16/09/2025 14:59:16,237477,8,questionnaire-nxtc,,49229630,wj2nqcwx,14092047,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1758049173638,16/09/2025 18:59:33,1758049173553,-4,16/09/2025 14:59:33,237477,8,questionnaire-nxtc,,49229630,wj2nqcwx,14092047,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,consent,1
3,1758049173761,16/09/2025 18:59:33,1758049173555,-4,16/09/2025 14:59:33,237477,8,questionnaire-nxtc,,49229630,wj2nqcwx,14092047,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,2240x1260,2240x1138,,,,Consent form,2,No,END QUESTIONNAIRE,17537
1,1757607606054,11/09/2025 16:20:06,1757607605923,-4,11/09/2025 12:20:05,237477,8,questionnaire-nxtc,,49135915,beby8hoc,14070622,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1653x857,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
2,1757607629568,11/09/2025 16:20:29,1757607629474,-4,11/09/2025 12:20:29,237477,8,questionnaire-nxtc,,49135915,beby8hoc,14070622,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,BEGIN QUESTIONNAIRE,
3,1757607673715,11/09/2025 16:21:13,1757607673598,-4,11/09/2025 12:21:13,237477,8,questionnaire-nxtc,,49135915,beby8hoc,14070622,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,consent,1
4,1757607673832,11/09/2025 16:21:13,1757607673601,-4,11/09/2025 12:21:13,237477,8,questionnaire-nxtc,,49135915,beby8hoc,14070622,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,2240x1260,1825x1041,,,,Consent form,2,No,END QUESTIONNAIRE,44126
